
selecT AEL_MUESTREO AS PARTIDA,AEN_ALBARAN,AEN_FECHA,AEN_tipofcs AS TIPO,AEN_IDAGRICULTOR AS CODIGO,AEL_IdValoracion AS VALORACIO,ValoracionSemanal.VSC_Valoracion AS NVAL from AlbEntrada_lineas
 left join  albentrada on AEL_idalbaran=AEN_idalbaran
 LEFT JOIN ValoracionSemanal ON AEL_IdValoracion=VSC_IdValora
  where AEL_FechaValoracion='14-10-2015' and AEN_tipofcs<>'C' ORDER BY TIPO,NVAL



PARTIDA	AEN_ALBARAN	AEN_FECHA	TIPO	CODIGO	VALORACIO	NVAL
96	84	2015-09-05	F	105	0	NULL
97	85	2015-09-05	F	105	0	NULL
98	85	2015-09-05	F	105	0	NULL
99	85	2015-09-05	F	105	0	NULL
100	85	2015-09-05	F	105	0	NULL
102	87	2015-09-07	F	105	0	NULL
103	87	2015-09-07	F	105	0	NULL
81	70	2015-09-04	F	105	0	NULL
82	70	2015-09-04	F	105	0	NULL
166	148	2015-09-10	F	105	0	NULL
167	148	2015-09-10	F	105	0	NULL
197	178	2015-09-11	F	105	0	NULL
198	178	2015-09-11	F	105	0	NULL
199	178	2015-09-11	F	105	0	NULL
202	181	2015-09-12	F	105	0	NULL
203	181	2015-09-12	F	105	0	NULL
227	197	2015-09-15	F	105	0	NULL
228	197	2015-09-15	F	105	0	NULL
284	250	2015-09-17	F	105	0	NULL
285	250	2015-09-17	F	105	0	NULL
380	340	2015-09-23	F	8077	0	NULL
418	373	2015-09-24	F	8077	0	NULL
453	408	2015-09-25	F	105	0	NULL
44	34	2015-09-02	F	8059	0	NULL
45	34	2015-09-02	F	8059	0	NULL
290	255	2015-09-18	F	8077	0	NULL
464	417	2015-09-25	F	8077	0	NULL
768	709	2015-10-05	F	105	0	NULL
769	709	2015-10-05	F	105	0	NULL
319	284	2015-09-19	F	8077	0	NULL
952	848	2015-10-08	S	5507	0	NULL
570	519	2015-09-29	S	5563	0	NULL
571	519	2015-09-29	S	5563	0	NULL
740	682	2015-10-03	S	6243	0	NULL
741	683	2015-10-03	S	6242	0	NULL
743	685	2015-10-03	S	6234	0	NULL
744	686	2015-10-03	S	6241	0	NULL
745	686	2015-10-03	S	6241	0	NULL
746	687	2015-10-03	S	6236	0	NULL
747	688	2015-10-03	S	6245	0	NULL
748	689	2015-10-03	S	6232	0	NULL
749	690	2015-10-03	S	6238	0	NULL
750	691	2015-10-03	S	6247	0	NULL
611	557	2015-09-30	S	6243	0	NULL
612	558	2015-09-30	S	6242	0	NULL
613	559	2015-09-30	S	6241	0	NULL
614	560	2015-09-30	S	6245	0	NULL
615	561	2015-09-30	S	6239	0	NULL
616	562	2015-09-30	S	6245	0	NULL
617	563	2015-09-30	S	6236	0	NULL
618	564	2015-09-30	S	6234	0	NULL
677	619	2015-10-02	S	6246	0	NULL
678	620	2015-10-02	S	6246	0	NULL
